"","id","Longitude","Latitude","JLSA","A1","A3","A9","A10","B3","B4","C1","C2","C7","D2","D5","D6","F3","F5","G2","I14","I22","I23","I24","I25","H6","H8"
"107",56102,-106.123894,22.956794,"Rosario","0","0","Entierro con cal y tierra","Incineraci—n","0","Si","Si","Si","ninguno","0","Si","Siembra de organismos silvestres","4","100","20","0","0","0","0","Si","0","Si"
"108",56105,-109.233333,25.883333,"Guasave Norte","Si","Si","Entierro sin tratar","Incineraci—n","Si","Si","Si","Si",NA,"Si","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","2","10","2","0","0","0","Si","Si","0","Si"
"109",56105,0,0,"Escuinapa","0","0","Entierro sin tratar","Entierro sin tratar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",56114,-107.474503,24.34577,"Eldorado","Si","Si","Incineraci—n","Entierro sin tratar","Si","Si","Si","Si","filtracion","0","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","2","8","10","Si","0","0","0","0","0","Si"
"111",56141,-108.316083,25.298748,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas","12","8.8","19","Si","Si","0","Si","Si","Si","Si"
"112",56143,0,0,"Guasave Sur","Si","Si","Incineraci—n","Incineraci—n","Si","Si","0","0",NA,"0","0","ImportaciÌ_n de reproductores","29","10","25","0","0","0","0","0","Si","Si"
"113",56143,0,0,"Navolato Norte",NA,NA,NA,NA,"Si","Si","Si","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",56152,-105.831275,22.807019,"Escuinapa","0","0","Entierro con cal y tierra","Entierro con cal y tierra","Si","Si","0","Si","ninguno","0","Si","ImportaciÌ_n de reproductores","6","7","10","Si","0","0","Si","0","Si","Si"
"115",56152,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",56153,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",56165,-105.825672,22.807783,"Escuinapa","0","Si","Incineraci—n","Incineraci—n","Si","Si","0","Si","ninguno","0","Si","ImportaciÌ_n de reproductores","2","5","10","0","0","Si","Si","Si","0","Si"
"118",56165,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",56181,-107.472198,24.340691,"Eldorado","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",56185,-109.291803,25.769572,"Ahome","Si","Si","Entierro con cal y tierra","Entierro sin tratar","Si","Si","Si","Si","filtracion","Si","0","ImportaciÌ_n de reproductores","10","10","5","Si","0","Si","0","Si","0","Si"
"121",56185,-109.386069,25.851358,"Ahome","Si","Si","Entierro sin tratar","Entierro sin tratar","Si","Si","0","Si","filtracion","Si","0","ImportaciÌ_n de reproductores","20","12","16","Si","0","0","0","0","Si","Si"
"122",56187,0,0,"Eldorado","0","0","Entierro con cal y tierra","Incineraci—n","Si","0","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","3","10","15","0","0",NA,"Si","0","Si","Si"
"123",56187,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",56217,-105.7421,22.797597,"Escuinapa","0","0","Entierro con cal y tierra","Entierro con cal y tierra","Si","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","30","9","10","Si","0","0","Si","0","0","Si"
"125",56224,-105.757053,22.566894,"Escuinapa","0","0","Incineraci—n","Incineraci—n","0","0","0","Si","ninguno","0","Si","Siembra de organismos silvestres","11","90","20","Si","0","0","Si","0","0","Si"
"126",56224,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",56231,-105.827569,22.668906,"Escuinapa","0","0","Incineraci—n","Incineraci—n","Si","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","26","48","15","Si","0","0","Si","0","0","Si"
"128",56248,-105.749931,22.7514,"Escuinapa","0","0","Entierro sin tratar","Entierro sin tratar","Si","Si","0","Si","filtracion; ninguno","0","Si","Siembra de organismos silvestres","10","18","20","Si","0","0","Si","Si","Si","Si"
